epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,30.876,0.63078,0.6921,1.19043,0.83794,0.48371,0.52959,0.32198,1.84774,2.08564,1.47842,2.40891e-05,2.40891e-05,2.40891e-05
75,31.1757,0.79016,0.7032,1.08356,0.83958,0.48149,0.51603,0.3192,1.80752,2.05052,1.45785,2.35472e-05,2.35472e-05,2.35472e-05
76,31.4552,0.6916,0.68975,1.05459,0.83958,0.48149,0.51603,0.3192,1.80752,2.05052,1.45785,2.29819e-05,2.29819e-05,2.29819e-05
77,31.736,0.74596,0.82109,1.10881,0.83958,0.48149,0.51603,0.3192,1.80752,2.05052,1.45785,2.23929e-05,2.23929e-05,2.23929e-05
78,32.0287,0.79023,1.05889,1.23612,0.84007,0.48163,0.52922,0.30942,1.80259,2.06579,1.45773,2.17805e-05,2.17805e-05,2.17805e-05
79,32.328,0.6997,0.91112,1.13658,0.84007,0.48163,0.52922,0.30942,1.80259,2.06579,1.45773,2.11444e-05,2.11444e-05,2.11444e-05
80,32.6087,0.63847,0.63521,1.01454,0.84007,0.48163,0.52922,0.30942,1.80259,2.06579,1.45773,2.04848e-05,2.04848e-05,2.04848e-05
81,32.9222,0.80991,0.90124,1.29942,0.84278,0.47661,0.52805,0.30484,1.80968,2.09012,1.46778,1.98016e-05,1.98016e-05,1.98016e-05
82,33.2085,0.69612,0.67678,1.23198,0.84278,0.47661,0.52805,0.30484,1.80968,2.09012,1.46778,1.90949e-05,1.90949e-05,1.90949e-05
83,33.4929,0.86586,0.72999,1.36052,0.84278,0.47661,0.52805,0.30484,1.80968,2.09012,1.46778,1.83646e-05,1.83646e-05,1.83646e-05
84,33.787,0.69137,0.77137,1.09209,0.84115,0.475,0.52537,0.30188,1.79391,2.08026,1.46295,1.76107e-05,1.76107e-05,1.76107e-05
85,34.0742,0.76026,0.92273,1.15723,0.84115,0.475,0.52537,0.30188,1.79391,2.08026,1.46295,1.68333e-05,1.68333e-05,1.68333e-05
86,34.3685,0.68262,1.04519,1.1027,0.84115,0.475,0.52537,0.30188,1.79391,2.08026,1.46295,1.60323e-05,1.60323e-05,1.60323e-05
87,34.6482,1.14264,1.71518,1.61484,0.84115,0.475,0.52537,0.30188,1.79391,2.08026,1.46295,1.52077e-05,1.52077e-05,1.52077e-05
88,34.953,0.64044,0.85118,1.07757,0.85448,0.46798,0.5276,0.30296,1.83909,2.11363,1.49747,1.43596e-05,1.43596e-05,1.43596e-05
89,35.2265,0.62,0.69768,1.29323,0.85448,0.46798,0.5276,0.30296,1.83909,2.11363,1.49747,1.34879e-05,1.34879e-05,1.34879e-05
90,35.5128,0.84309,0.80459,1.26402,0.85448,0.46798,0.5276,0.30296,1.83909,2.11363,1.49747,1.25927e-05,1.25927e-05,1.25927e-05
91,36.1361,0.64593,0.60541,1.09115,0.85448,0.46798,0.5276,0.30296,1.83909,2.11363,1.49747,1.16739e-05,1.16739e-05,1.16739e-05
92,36.4636,0.73662,0.62957,1.21534,0.8679,0.46467,0.52715,0.31241,1.81324,2.10395,1.47913,1.07315e-05,1.07315e-05,1.07315e-05
93,36.779,0.56291,0.66335,0.97992,0.8679,0.46467,0.52715,0.31241,1.81324,2.10395,1.47913,9.76562e-06,9.76562e-06,9.76562e-06
94,37.0597,0.68085,0.61466,1.02977,0.8679,0.46467,0.52715,0.31241,1.81324,2.10395,1.47913,8.77613e-06,8.77613e-06,8.77613e-06
95,37.3449,0.56465,0.54695,0.97066,0.8679,0.46467,0.52715,0.31241,1.81324,2.10395,1.47913,7.76308e-06,7.76308e-06,7.76308e-06
96,37.6737,0.54135,0.60475,1.00122,0.86382,0.46247,0.52479,0.30576,1.8014,2.01592,1.46741,6.72648e-06,6.72648e-06,6.72648e-06
97,37.9498,0.54517,0.57721,1.02392,0.86382,0.46247,0.52479,0.30576,1.8014,2.01592,1.46741,5.6663e-06,5.6663e-06,5.6663e-06
98,38.2234,0.56597,0.51644,0.96636,0.86382,0.46247,0.52479,0.30576,1.8014,2.01592,1.46741,4.58257e-06,4.58257e-06,4.58257e-06
99,38.53,0.56391,0.61847,1.05922,0.86382,0.46247,0.52479,0.30576,1.8014,2.01592,1.46741,3.47528e-06,3.47528e-06,3.47528e-06
100,38.8229,0.46303,0.44532,0.93695,0.86109,0.46504,0.53159,0.31307,1.75317,2.00978,1.44636,2.34442e-06,2.34442e-06,2.34442e-06
